RefDes,Value,Name,Pattern,Manufacturer,Quantity,
A1,,CONSMA003.062,CONSMA003.062,Linx Technologies,1,http://www.mouser.com/ProductDetail/Linx-Technologies/CONSMA003062/?qs=sGAEpiMZZMuLQf%252bEuFsOru48dlYVRPu%252bytfcJlDzcVM%3d
A2,,A-1JB,A-1JB,Amphenol,1,http://www.mouser.com/ProductDetail/Amphenol-RF/A-1JB/?qs=sGAEpiMZZMvge%2fa0MohKQ8hlFo1XMhjg
C1,100uF,CAP100RP,CAPPR-2.54/5.08,,1,http://www.mouser.com/ProductDetail/Lelon/SEA101M1CBK-0607P/?qs=sGAEpiMZZMsh%252b1woXyUXjxXyyauUR3Pmu%2fAZ5QgMdT4%3d
C2,1uF,CAP_0805,CAP_0805,,1,http://www.mouser.com/ProductDetail/Vishay-Vitramon/VJ0805Y105KXQTW1BC/?qs=sGAEpiMZZMsh%252b1woXyUXj7IM2igjA789UFrvf0Kziow%3d
C3,47uF,CAP100RP,CAPPR-2.54/5.08,,1,http://www.mouser.com/ProductDetail/Nichicon/UMA1C470MDD/?qs=sGAEpiMZZMtZ1n0r9vR22aNb8fDq44JyIx0itkgELhU%3d
C4,0.1uF,CAP_0805,CAP_0805,,1,http://www.mouser.com/ProductDetail/Wurth-Electronics/885012207045/?qs=sGAEpiMZZMs0AnBnWHyRQEGbLOF2VP1iAY9vxOPr9eG3NogG0SQw4Q%3d%3d
C5,33pF,CAP_0805,CAP_0805,,1,http://www.mouser.com/ProductDetail/Wurth-Electronics/885012007013/?qs=sGAEpiMZZMs0AnBnWHyRQEGbLOF2VP1igYKktugDVz8g3bWUsaovaA%3d%3d
C6,33pF,CAP_0805,CAP_0805,,1,http://www.mouser.com/ProductDetail/Wurth-Electronics/885012007013/?qs=sGAEpiMZZMs0AnBnWHyRQEGbLOF2VP1igYKktugDVz8g3bWUsaovaA%3d%3d
C7,4.7uF,CAP_0805,CAP_0805,,1,http://www.mouser.com/ProductDetail/Vishay-Vitramon/VJ0805V475ZXQTW1BC/?qs=sGAEpiMZZMs0AnBnWHyRQAR7at33PD0%252bJKKYF81viUA%3d
C8,0.1uF,CAP_0805,CAP_0805,,1,http://www.mouser.com/ProductDetail/Wurth-Electronics/885012207045/?qs=sGAEpiMZZMs0AnBnWHyRQEGbLOF2VP1iAY9vxOPr9eG3NogG0SQw4Q%3d%3d
D1,MMSZ5231BT1G,DIO_ZENER,SOD-123,ON Semiconductor,1,http://www.mouser.com/ProductDetail/ON-Semiconductor/MMSZ5231BT1G/?qs=sGAEpiMZZMtQ8nqTKtFS%2fJ7m6e1KBCguc5Y0KHFWq%252bc%3d
D2,Red LED,DIODE_0805,DIO_0805,,1,http://www.mouser.com/Search/ProductDetail.aspx?R=SML-LXT0805IW-TRvirtualkey69600000virtualkey696-SML-LXT0805IW
D3,Green LED,DIODE_0805,DIO_0805,,1,http://www.mouser.com/Search/ProductDetail.aspx?R=SML-LXT0805GW-TRvirtualkey69600000virtualkey696-SML-LXT0805GW
D4,1N400X Reverse polarity protection,DIODE,DO-35,,1,http://www.mouser.com/ProductDetail/Fairchild-Semiconductor/1N4001/?qs=sGAEpiMZZMuQUXCJI7Y4livqf9H1GTKY
J1,,HDR-1x4,HDR-1x4,,1,
J2,,HDR-1x4,HDR-1x4,,1,
J3,,PJ-002BH,PJ-002B,CUI,1,http://www.mouser.com/ProductDetail/CUI/PJ-002BH/?qs=sGAEpiMZZMtnOp%252bbbqA009lE0K0K%252bPZGI3zhVhcJhgMK7491%2f27uFQ%3d%3d
J4,,HDR-1x2,HDR-1x2,,1,
J5,,HDR-1x2,HDR-1x2,,1,
J6,,HDR-1x2,HDR-1x2,,1,
Q3,MMBT3906,MMBT3906 2N3906-SOT-23,SOT23,Fairchild,1,http://www.mouser.com/ProductDetail/Fairchild-Semiconductor/MMBT3906/?qs=sGAEpiMZZMshyDBzk1%2fWi8oN7VHZ91OkOFiqqXNYBYY%3d
R1,1K,RES_0805,RES_0805,,1,http://www.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/1-2176092-8/?qs=sGAEpiMZZMtlubZbdhIBIP78WyDTHQZBYHcwkrM3rIc%3d
R2,1K,RES_0805,RES_0805,,1,http://www.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/1-2176092-8/?qs=sGAEpiMZZMtlubZbdhIBIP78WyDTHQZBYHcwkrM3rIc%3d
R3,100K 1%,RES_0805,RES_0805,,1,http://www.mouser.com/ProductDetail/KOA-Speer/SG73P2ATTD1003F/?qs=sGAEpiMZZMu61qfTUdNhG1l4gKSaPv1Ih1d4xMQOEAA%3d
R4,43K 1%,RES_0805,RES_0805,,1,http://www.mouser.com/ProductDetail/KOA-Speer/SG73S2ATTD4302F/?qs=sGAEpiMZZMu61qfTUdNhG1l4gKSaPv1I6YjGpr3lLKQ%3d
R5,470 Ohms,RES_0805,RES_0805,,1,http://www.mouser.com/ProductDetail/Panasonic/ERJ-T06J471V/?qs=sGAEpiMZZMu61qfTUdNhG6hHVqnyaoDdLxhEgrrDyxQ%3d
R6,10K,RES_0805,RES_0805,,1,http://www.mouser.com/ProductDetail/Bourns/CRS0805-FX-1002ELF/?qs=sGAEpiMZZMu61qfTUdNhG66DYaRSok5e2ASRcJzG4bAuq%2f1Yna3lVQ%3d%3d
R7,4.7K,RES_0805,RES_0805,,1,http://www.mouser.com/ProductDetail/Panasonic/ERJ-T06J472V/?qs=sGAEpiMZZMu61qfTUdNhG6hHVqnyaoDdtCBhfbG0gsk%3d
R8,47K,RES_0805,RES_0805,,1,http://www.mouser.com/ProductDetail/Panasonic/ERJ-T06J473V/?qs=sGAEpiMZZMu61qfTUdNhG6hHVqnyaoDdvay8o01WO6k%3d
U1,,SIM808,sim808,SIMCOM,1,
U2,,7111S2015X02LF,7111S2015X02LF,Amphenol,1,http://www.mouser.com/ProductDetail/FCI-Amphenol/7111S2015X02LF/?qs=%2fha2pyFaduhsZsdvoM%2fsNUxBBGJAWAXSJHLDAkDRJocwNu%2fLr2RF2g%3d%3d
U3,,ESDA6V1-5SC6,ESDA6V1-5SC6,ST,1,http://www.mouser.com/ProductDetail/STMicroelectronics/ESDA6V1-5SC6/?qs=%2fha2pyFadujMP4AG9lEc8Tdx9FZ96x%2fJakDrLkQrDIEv6y8nm2dSGg%3d%3d
U4,,TXB0104DR,SOIC-14/150mil,Texas Instruments,1,http://www.mouser.com/ProductDetail/Texas-Instruments/TXB0104DR/?qs=sGAEpiMZZMsty6Jaj0%252bBBhonw%2flHfIB4UaBIjBXTu0U%3d
U5,,MIC29302A,MIC29302A,Micrel,1,http://www.mouser.com/ProductDetail/Microchip-Technology-Micrel/MIC29302AWU/?qs=sGAEpiMZZMsGz1a6aV8DcP%252b6ey5cUOYkIi70TXS65RQ%3d
U8,2x20_header,chip_dip_2,HDR-2x20,,1,
U9,2x20_header,chip_dip,HDR-2x20,,1,
